Item,MAE,MSE,RMSE,MAPE
Allgäuer Hof-Milch Butter mild gesäuert 250g,0.24948249632736255,0.16257930275944377,0.4032112383843533,8.999200272773814
Bio Aubergine 1 Stück,0.0949364430587833,0.030307439253360807,0.1740903192407918,7.803824916675234
Blumenkohl weiß 1 Stück,0.24750228769882845,0.07337451570320222,0.2708773074718556,6.799817654536981
Blumenkohl/Broccoli 500g,0.0041757526205029516,2.427084031123871e-05,0.0049265444594805705,0.11964907222071494
Broccoli 500g,0.1809797419056112,0.03585740232839166,0.189360508893464,10.587469536771138
Eisbergsalat 1 Stück,0.03551478441777243,0.0017499596076415824,0.041832518542894145,2.8703557961686976
Galiamelone 1 Stück,0.4564336778439814,0.22882305384209273,0.47835452735611556,18.113818270518674
Karotten 1kg,0.22090222680108015,0.04978773152061411,0.2231316461656977,21.240092601051412
"Kartoffeln vorwiegend festkochend 2,5kg",0.17856800495435518,0.03770369882643278,0.1941744031185181,9.509150320738055
Mango vorgereift 1 Stück,0.3126605277390674,0.12009477578635504,0.346546931578329,27.20176058337389
Meggle Feine Butter 250g,0.25644339187467413,0.1577522766902794,0.39718040824073814,9.096308073044462
Orangen 2kg im Netz,0.24385060923822469,0.07409706406560712,0.2722077590106629,9.406056120399354
REWE Beste Wahl Feinschmecker Hähnchen 1200g,0.08537885532836623,0.008052275078106855,0.08973446984357157,1.5110214325623565
REWE Bio Eisbergsalat 1 Stück,0.12944649043691844,0.020241202885895673,0.1422715814416065,5.198654234414394
REWE Bio Zucchini 500g,0.4873713685235222,0.47436411316240756,0.6887409623090582,25.384293691505704
REWE Regional Blumenkohl/Broccoli 500g,0.1027296923366112,0.010682120344010563,0.10335434361462784,2.9647540478016667
Rewe Beste Wahl Eier aus Freilandhaltung 10 Stück,0.042693054480116836,0.002012389934289041,0.04485966935108908,1.6293886563825368
Rispentomaten ca. 100g,0.022019735609445288,0.0004889981564702397,0.022113302703807944,8.807894243778115
Spitzkohl ca. 1kg,0.27940277334372243,0.08653246127531991,0.29416400404420645,11.699545777788071
Tafeltrauben hell kernlos 500g,0.38294037138800646,0.22426611559216975,0.47356743510525484,18.26886895704658
UNSER LAND Bio Karotten 1kg,0.0,0.0,0.0,0.0
Zitronen 500g im Netz,0.109124313434225,0.013339459008696007,0.11549657574446096,10.45908785101036
Zwiebeln 2kg im Netz,0.23875263554045303,0.07465873909483077,0.27323751406940955,15.320092536329508
ja! Basmati Reis 1kg,0.09977004482748814,0.010625011953187526,0.10307769862190136,3.336790796905957
"ja! H-Milch 3,5% 1l",0.00858198426865277,0.0002432252107976868,0.015595679234893451,0.8112564503599546
ja! Sonnenblumenmargarine 500g,0.0,0.0,0.0,0.0
ja! Sonnenblumenöl 1l,0.004601675036501285,3.458062248229954e-05,0.005880529098839623,0.28941352430825684
